,rxn_id,temperature,ligand,solvent,precursor,base,cosolvent,ligand_PC1,ligand_PC2,ligand_PC3,ligand_PC4,ligand_PC5,ligand_PC6,ligand_PC7,ligand_PC8,ligand_PC9,ligand_PC10,ligand_PC11,ligand_PC12,ligand_PC13,ligand_PC14,ligand_PC15,ligand_PC16,ligand_PC17,ligand_PC18,ligand_PC19,ligand_PC20,ligand_PC21,ligand_PC22,ligand_PC23,ligand_PC24,ligand_PC25,ligand_PC26,ligand_PC27,ligand_PC28,ligand_PC29,ligand_PC30,ligand_PC31,ligand_PC32,ligand_PC33,ligand_PC34,ligand_PC35,ligand_PC36,ligand_PC37,F1,F2,F3,F4,NiCl2.6H2O,[Ni(COD)(DQ)],[Ni(oTol)(Cl)(PPh3)2],[Ni(oTol)(Cl)(TMEDA)],Cs2CO3,DBU,DIPEA,K3PO4,MeOH,none,water,temperature_descriptor
48464,48464,70,PPh3,MeTHF,[Ni(COD)(DQ)],Cs2CO3,MeOH,0.0383843320843269,0.2811341666768624,0.4532639241662862,0.4764997862214069,0.3075539806947323,0.294159318995865,0.3329478539083926,0.0781065925273677,0.4639773566252921,0.2898708033937159,0.5216684114169237,0.1839904520487055,0.5169681522983399,0.6981553846597341,0.4058910145521335,0.4550682438798028,0.4260370009617816,0.5010533988185224,0.6141327692023271,0.5021156684205692,0.2896449566241694,0.4104261563024021,0.4953330249298727,0.4377643001233174,0.160210097674923,0.3495168952899001,0.4889675014526328,0.5341103026908203,0.3263001225568612,0.568092281292848,0.4517788783194167,0.3151470998505463,0.633019667654481,0.6123269257124235,0.6456584076564343,0.3362872120371282,0.3287392588672766,0.5158730158730158,0.0,0.8656716417910446,0.4666666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5000000000000001
48484,48484,70,PPh3,MeCN,[Ni(oTol)(Cl)(TMEDA)],DBU,water,0.0383843320843269,0.2811341666768624,0.4532639241662862,0.4764997862214069,0.3075539806947323,0.294159318995865,0.3329478539083926,0.0781065925273677,0.4639773566252921,0.2898708033937159,0.5216684114169237,0.1839904520487055,0.5169681522983399,0.6981553846597341,0.4058910145521335,0.4550682438798028,0.4260370009617816,0.5010533988185224,0.6141327692023271,0.5021156684205692,0.2896449566241694,0.4104261563024021,0.4953330249298727,0.4377643001233174,0.160210097674923,0.3495168952899001,0.4889675014526328,0.5341103026908203,0.3263001225568612,0.568092281292848,0.4517788783194167,0.3151470998505463,0.633019667654481,0.6123269257124235,0.6456584076564343,0.3362872120371282,0.3287392588672766,0.1111111111111111,0.8478260869565218,0.0,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5000000000000001
48586,48586,70,PPh3,iPrOH,[Ni(oTol)(Cl)(TMEDA)],K3PO4,water,0.0383843320843269,0.2811341666768624,0.4532639241662862,0.4764997862214069,0.3075539806947323,0.294159318995865,0.3329478539083926,0.0781065925273677,0.4639773566252921,0.2898708033937159,0.5216684114169237,0.1839904520487055,0.5169681522983399,0.6981553846597341,0.4058910145521335,0.4550682438798028,0.4260370009617816,0.5010533988185224,0.6141327692023271,0.5021156684205692,0.2896449566241694,0.4104261563024021,0.4953330249298727,0.4377643001233174,0.160210097674923,0.3495168952899001,0.4889675014526328,0.5341103026908203,0.3263001225568612,0.568092281292848,0.4517788783194167,0.3151470998505463,0.633019667654481,0.6123269257124235,0.6456584076564343,0.3362872120371282,0.3287392588672766,0.238095238095238,0.7717391304347827,0.9552238805970148,0.7555555555555555,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5000000000000001
48614,48614,70,PPh3,iPrOH,NiCl2.6H2O,DIPEA,MeOH,0.0383843320843269,0.2811341666768624,0.4532639241662862,0.4764997862214069,0.3075539806947323,0.294159318995865,0.3329478539083926,0.0781065925273677,0.4639773566252921,0.2898708033937159,0.5216684114169237,0.1839904520487055,0.5169681522983399,0.6981553846597341,0.4058910145521335,0.4550682438798028,0.4260370009617816,0.5010533988185224,0.6141327692023271,0.5021156684205692,0.2896449566241694,0.4104261563024021,0.4953330249298727,0.4377643001233174,0.160210097674923,0.3495168952899001,0.4889675014526328,0.5341103026908203,0.3263001225568612,0.568092281292848,0.4517788783194167,0.3151470998505463,0.633019667654481,0.6123269257124235,0.6456584076564343,0.3362872120371282,0.3287392588672766,0.238095238095238,0.7717391304347827,0.9552238805970148,0.7555555555555555,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5000000000000001
48650,48650,70,PPh3,DEC,[Ni(COD)(DQ)],DIPEA,MeOH,0.0383843320843269,0.2811341666768624,0.4532639241662862,0.4764997862214069,0.3075539806947323,0.294159318995865,0.3329478539083926,0.0781065925273677,0.4639773566252921,0.2898708033937159,0.5216684114169237,0.1839904520487055,0.5169681522983399,0.6981553846597341,0.4058910145521335,0.4550682438798028,0.4260370009617816,0.5010533988185224,0.6141327692023271,0.5021156684205692,0.2896449566241694,0.4104261563024021,0.4953330249298727,0.4377643001233174,0.160210097674923,0.3495168952899001,0.4889675014526328,0.5341103026908203,0.3263001225568612,0.568092281292848,0.4517788783194167,0.3151470998505463,0.633019667654481,0.6123269257124235,0.6456584076564343,0.3362872120371282,0.3287392588672766,0.6428571428571428,0.4347826086956523,0.6417910447761194,0.2666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5000000000000001
49031,49031,70,PCy3,iPrOH,[Ni(oTol)(Cl)(PPh3)2],K3PO4,MeOH,0.1569255141859478,0.4619296562838362,0.1894358910722399,0.2171740039001031,0.3936852889915794,0.7095298641163765,0.4509075561823363,0.3329705681437086,0.4975840476606012,0.7286180756556289,0.303362771508996,0.5135627139776979,0.7400567618413563,0.3686337783075198,0.4043797389348928,0.3750520799408203,1.0,0.5352031158988321,0.7136244815048198,0.5820242319577561,0.0507766138255449,0.4771652419551787,0.5459507049171338,0.3834573955562229,0.5200958474001026,0.1991564832840807,0.6167147236445658,0.6237256306518038,0.3308703593015699,0.4148835679134651,0.4643725180486647,0.5142988230906733,0.1378383471635348,0.3792829047636385,0.7004509683876201,0.3009391934583882,0.5750254982234453,0.238095238095238,0.7717391304347827,0.9552238805970148,0.7555555555555555,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5000000000000001
49081,49081,70,PCy3,DEC,[Ni(COD)(DQ)],DIPEA,water,0.1569255141859478,0.4619296562838362,0.1894358910722399,0.2171740039001031,0.3936852889915794,0.7095298641163765,0.4509075561823363,0.3329705681437086,0.4975840476606012,0.7286180756556289,0.303362771508996,0.5135627139776979,0.7400567618413563,0.3686337783075198,0.4043797389348928,0.3750520799408203,1.0,0.5352031158988321,0.7136244815048198,0.5820242319577561,0.0507766138255449,0.4771652419551787,0.5459507049171338,0.3834573955562229,0.5200958474001026,0.1991564832840807,0.6167147236445658,0.6237256306518038,0.3308703593015699,0.4148835679134651,0.4643725180486647,0.5142988230906733,0.1378383471635348,0.3792829047636385,0.7004509683876201,0.3009391934583882,0.5750254982234453,0.6428571428571428,0.4347826086956523,0.6417910447761194,0.2666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5000000000000001
49147,49147,70,PCy3,EtOAc,NiCl2.6H2O,Cs2CO3,water,0.1569255141859478,0.4619296562838362,0.1894358910722399,0.2171740039001031,0.3936852889915794,0.7095298641163765,0.4509075561823363,0.3329705681437086,0.4975840476606012,0.7286180756556289,0.303362771508996,0.5135627139776979,0.7400567618413563,0.3686337783075198,0.4043797389348928,0.3750520799408203,1.0,0.5352031158988321,0.7136244815048198,0.5820242319577561,0.0507766138255449,0.4771652419551787,0.5459507049171338,0.3834573955562229,0.5200958474001026,0.1991564832840807,0.6167147236445658,0.6237256306518038,0.3308703593015699,0.4148835679134651,0.4643725180486647,0.5142988230906733,0.1378383471635348,0.3792829047636385,0.7004509683876201,0.3009391934583882,0.5750254982234453,0.5793650793650793,0.3695652173913044,0.6343283582089552,0.2666666666666667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5000000000000001
49369,49369,70,JohnPhos,MeCN,[Ni(COD)(DQ)],DIPEA,water,0.3807933215416242,0.8086775757541087,0.3676691900344437,0.5108506742471522,0.3851790803266943,0.1605457558074257,0.223678549788284,0.4790125371924458,0.4536125153447973,0.6600745258551488,0.4671515248262213,0.3382257367179817,0.4774042662534262,0.2107866406704683,0.3920311476463429,0.5933410797895498,0.1541479462343328,0.2155459959733858,1.0,0.4144482800388046,0.5182388790660445,0.1572576279532732,0.5212480694082715,0.2166322592673997,0.3804865368371032,0.3581507466909397,0.5290097579626776,0.4264215613049253,0.5182355173125238,0.7421779320342932,0.3474484777023349,0.6042028978856464,0.5983388343413064,0.4254566923266049,0.7824851065251512,0.3705537905698454,0.7250748886457561,0.1111111111111111,0.8478260869565218,0.0,0.2222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5000000000000001
49370,49370,70,JohnPhos,MeCN,[Ni(COD)(DQ)],DIPEA,MeOH,0.3807933215416242,0.8086775757541087,0.3676691900344437,0.5108506742471522,0.3851790803266943,0.1605457558074257,0.223678549788284,0.4790125371924458,0.4536125153447973,0.6600745258551488,0.4671515248262213,0.3382257367179817,0.4774042662534262,0.2107866406704683,0.3920311476463429,0.5933410797895498,0.1541479462343328,0.2155459959733858,1.0,0.4144482800388046,0.5182388790660445,0.1572576279532732,0.5212480694082715,0.2166322592673997,0.3804865368371032,0.3581507466909397,0.5290097579626776,0.4264215613049253,0.5182355173125238,0.7421779320342932,0.3474484777023349,0.6042028978856464,0.5983388343413064,0.4254566923266049,0.7824851065251512,0.3705537905698454,0.7250748886457561,0.1111111111111111,0.8478260869565218,0.0,0.2222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5000000000000001
