,rxn_id,temperature,ligand,solvent,precursor,base,cosolvent
80150,80150,100,P(oTol)3,DMI,NiCl2.6H2O,DIPEA,MeOH
86630,86630,100,cataCXium PiPr,tAmOH,NiCl2.6H2O,DIPEA,MeOH
58694,58694,70,PhDavePhos,MEK,NiCl2.6H2O,DIPEA,MeOH
50150,50150,70,P(oTol)3,DMI,NiCl2.6H2O,DIPEA,MeOH
51842,51842,70,P(2-OMe-C6H4)3,DMI,[Ni(oTol)(Cl)(TMEDA)],DIPEA,MeOH
64502,64502,70,cataCXium PiPr,MeCN,NiCl2.6H2O,DIPEA,MeOH
80834,80834,100,P(2-OMe-C6H4)3,tAmOH,[Ni(oTol)(Cl)(TMEDA)],DIPEA,MeOH
86654,86654,100,cataCXium PiPr,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
49766,49766,70,P(oTol)3,MeTHF,NiCl2.6H2O,DIPEA,MeOH
64454,64454,70,cataCXium PiPr,MeTHF,NiCl2.6H2O,DIPEA,MeOH
63446,63446,70,PhCPhos,MEK,NiCl2.6H2O,DIPEA,MeOH
50054,50054,70,P(oTol)3,MEK,NiCl2.6H2O,DIPEA,MeOH
51518,51518,70,P(2-OMe-C6H4)3,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
86078,86078,100,PhCPhos,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
83942,83942,100,PhDavePhos,tAmOH,NiCl2.6H2O,DIPEA,MeOH
80846,80846,100,P(2-OMe-C6H4)3,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
51614,51614,70,P(2-OMe-C6H4)3,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
51806,51806,70,P(2-OMe-C6H4)3,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
51506,51506,70,P(2-OMe-C6H4)3,MeCN,[Ni(oTol)(Cl)(TMEDA)],DIPEA,MeOH
80102,80102,100,P(oTol)3,tAmOH,NiCl2.6H2O,DIPEA,MeOH
86642,86642,100,cataCXium PiPr,DMI,[Ni(oTol)(Cl)(TMEDA)],DIPEA,MeOH
63518,63518,70,PhCPhos,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
51602,51602,70,P(2-OMe-C6H4)3,iPrOH,[Ni(oTol)(Cl)(TMEDA)],DIPEA,MeOH
64790,64790,70,cataCXium PiPr,tAmOH,NiCl2.6H2O,DIPEA,MeOH
86054,86054,100,PhCPhos,tAmOH,NiCl2.6H2O,DIPEA,MeOH
83894,83894,100,PhDavePhos,DEC,NiCl2.6H2O,DIPEA,MeOH
51758,51758,70,P(2-OMe-C6H4)3,MEK,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
86582,86582,100,cataCXium PiPr,DEC,NiCl2.6H2O,DIPEA,MeOH
51470,51470,70,P(2-OMe-C6H4)3,MeTHF,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
58646,58646,70,PhDavePhos,EtOAc,NiCl2.6H2O,DIPEA,MeOH
64574,64574,70,cataCXium PiPr,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
64742,64742,70,cataCXium PiPr,MEK,NiCl2.6H2O,DIPEA,MeOH
86066,86066,100,PhCPhos,DMI,[Ni(oTol)(Cl)(TMEDA)],DIPEA,MeOH
58742,58742,70,PhDavePhos,tAmOH,NiCl2.6H2O,DIPEA,MeOH
50006,50006,70,P(oTol)3,EtOAc,NiCl2.6H2O,DIPEA,MeOH
51794,51794,70,P(2-OMe-C6H4)3,tAmOH,[Ni(oTol)(Cl)(TMEDA)],DIPEA,MeOH
64466,64466,70,cataCXium PiPr,MeCN,[Ni(oTol)(Cl)(TMEDA)],DIPEA,MeOH
50102,50102,70,P(oTol)3,tAmOH,NiCl2.6H2O,DIPEA,MeOH
80054,80054,100,P(oTol)3,DEC,NiCl2.6H2O,DIPEA,MeOH
52406,52406,70,cataCXium A,MeCN,NiCl2.6H2O,DIPEA,MeOH
64802,64802,70,cataCXium PiPr,DMI,[Ni(oTol)(Cl)(TMEDA)],DIPEA,MeOH
49910,49910,70,P(oTol)3,iPrOH,NiCl2.6H2O,DIPEA,MeOH
64814,64814,70,cataCXium PiPr,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
64694,64694,70,cataCXium PiPr,EtOAc,NiCl2.6H2O,DIPEA,MeOH
83606,83606,100,BrettPhos,DMI,NiCl2.6H2O,DIPEA,MeOH
80114,80114,100,P(oTol)3,DMI,[Ni(oTol)(Cl)(TMEDA)],DIPEA,MeOH
58550,58550,70,PhDavePhos,iPrOH,NiCl2.6H2O,DIPEA,MeOH
86606,86606,100,cataCXium PiPr,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
86030,86030,100,PhCPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
49958,49958,70,P(oTol)3,DEC,NiCl2.6H2O,DIPEA,MeOH
63398,63398,70,PhCPhos,EtOAc,NiCl2.6H2O,DIPEA,MeOH
83966,83966,100,PhDavePhos,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
63506,63506,70,PhCPhos,DMI,[Ni(oTol)(Cl)(TMEDA)],DIPEA,MeOH
51746,51746,70,P(2-OMe-C6H4)3,MEK,[Ni(oTol)(Cl)(TMEDA)],DIPEA,MeOH
79574,79574,100,PPh3,DMI,NiCl2.6H2O,DIPEA,MeOH
64646,64646,70,cataCXium PiPr,DEC,NiCl2.6H2O,DIPEA,MeOH
58598,58598,70,PhDavePhos,DEC,NiCl2.6H2O,DIPEA,MeOH
63278,63278,70,PhCPhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
51458,51458,70,P(2-OMe-C6H4)3,MeTHF,[Ni(oTol)(Cl)(TMEDA)],DIPEA,MeOH
86006,86006,100,PhCPhos,DEC,NiCl2.6H2O,DIPEA,MeOH
64562,64562,70,cataCXium PiPr,iPrOH,[Ni(oTol)(Cl)(TMEDA)],DIPEA,MeOH
51710,51710,70,P(2-OMe-C6H4)3,EtOAc,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
57926,57926,70,BrettPhos,DMI,NiCl2.6H2O,DIPEA,MeOH
80798,80798,100,P(2-OMe-C6H4)3,DEC,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
80786,80786,100,P(2-OMe-C6H4)3,DEC,[Ni(oTol)(Cl)(TMEDA)],DIPEA,MeOH
63350,63350,70,PhCPhos,DEC,NiCl2.6H2O,DIPEA,MeOH
51698,51698,70,P(2-OMe-C6H4)3,EtOAc,[Ni(oTol)(Cl)(TMEDA)],DIPEA,MeOH
64766,64766,70,cataCXium PiPr,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
63134,63134,70,PhCPhos,MeTHF,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
63494,63494,70,PhCPhos,tAmOH,NiCl2.6H2O,DIPEA,MeOH
80126,80126,100,P(oTol)3,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
