,rxn_id,temperature,ligand,solvent,precursor,base,cosolvent
86678,86678,100,cataCXium PiPr,DMI,NiCl2.6H2O,DIPEA,MeOH
80918,80918,100,P(2-OMe-C6H4)3,DMI,NiCl2.6H2O,DIPEA,MeOH
51878,51878,70,P(2-OMe-C6H4)3,DMI,NiCl2.6H2O,DIPEA,MeOH
80870,80870,100,P(2-OMe-C6H4)3,tAmOH,NiCl2.6H2O,DIPEA,MeOH
64598,64598,70,cataCXium PiPr,iPrOH,NiCl2.6H2O,DIPEA,MeOH
51782,51782,70,P(2-OMe-C6H4)3,MEK,NiCl2.6H2O,DIPEA,MeOH
83990,83990,100,PhDavePhos,DMI,NiCl2.6H2O,DIPEA,MeOH
51638,51638,70,P(2-OMe-C6H4)3,iPrOH,NiCl2.6H2O,DIPEA,MeOH
51542,51542,70,P(2-OMe-C6H4)3,MeCN,NiCl2.6H2O,DIPEA,MeOH
51830,51830,70,P(2-OMe-C6H4)3,tAmOH,NiCl2.6H2O,DIPEA,MeOH
51494,51494,70,P(2-OMe-C6H4)3,MeTHF,NiCl2.6H2O,DIPEA,MeOH
64478,64478,70,cataCXium PiPr,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
58790,58790,70,PhDavePhos,DMI,NiCl2.6H2O,DIPEA,MeOH
63542,63542,70,PhCPhos,DMI,NiCl2.6H2O,DIPEA,MeOH
51734,51734,70,P(2-OMe-C6H4)3,EtOAc,NiCl2.6H2O,DIPEA,MeOH
86102,86102,100,PhCPhos,DMI,NiCl2.6H2O,DIPEA,MeOH
80894,80894,100,P(2-OMe-C6H4)3,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
86594,86594,100,cataCXium PiPr,tAmOH,[Ni(oTol)(Cl)(TMEDA)],DIPEA,MeOH
80882,80882,100,P(2-OMe-C6H4)3,DMI,[Ni(oTol)(Cl)(TMEDA)],DIPEA,MeOH
80822,80822,100,P(2-OMe-C6H4)3,DEC,NiCl2.6H2O,DIPEA,MeOH
51686,51686,70,P(2-OMe-C6H4)3,DEC,NiCl2.6H2O,DIPEA,MeOH
51854,51854,70,P(2-OMe-C6H4)3,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
58406,58406,70,PhDavePhos,MeTHF,NiCl2.6H2O,DIPEA,MeOH
63158,63158,70,PhCPhos,MeTHF,NiCl2.6H2O,DIPEA,MeOH
64838,64838,70,cataCXium PiPr,DMI,NiCl2.6H2O,DIPEA,MeOH
