,rxn_id,temperature,ligand,solvent,precursor,base,cosolvent
85454,85454,100,EPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
87518,87518,100,PCy2Ph,DEC,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
70622,70622,85,P(4-OMe-C6H4)3,DEC,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
72542,72542,85,tBuDavePhos,DEC,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
80702,80702,100,P(4-CF3-C6H4)3,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
71246,71246,85,P(2-OMe-C6H4)3,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
76874,76874,85,PAd3,DMI,[Ni(COD)(DQ)],DIPEA,MeOH
72974,72974,85,cataCXium PICy,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
87614,87614,100,PCy2Ph,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
76826,76826,85,PAd3,tAmOH,[Ni(COD)(DQ)],DIPEA,MeOH
86426,86426,100,PAd3,tAmOH,[Ni(COD)(DQ)],DIPEA,MeOH
73358,73358,85,MorDalphos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
88094,88094,100,PtBuPh2,DEC,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
88190,88190,100,PtBuPh2,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
86474,86474,100,PAd3,DMI,[Ni(COD)(DQ)],DIPEA,MeOH
72602,72602,85,tBuDavePhos,tAmOH,[Ni(COD)(DQ)],DIPEA,MeOH
86798,86798,100,EtPhenCar-Phos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
76622,76622,85,(tBu)PhCPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
82958,82958,100,MorDalphos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
74702,74702,85,AmPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
78590,78590,85,PtBuPh2,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
