,rxn_id,temperature,ligand,solvent,precursor,base,cosolvent
83822,83822,100,PhDavePhos,PhMe,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
75758,75758,85,EPhos,PhMe,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
80762,80762,100,P(2-OMe-C6H4)3,PhMe,[Ni(COD)(DQ)],DIPEA,MeOH
85562,85562,100,PhenCar-Phos,PhMe,[Ni(COD)(DQ)],DIPEA,MeOH
83630,83630,100,SPhos,PhMe,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
82682,82682,100,XPhos,PhMe,[Ni(COD)(DQ)],DIPEA,MeOH
81518,81518,100,cataCXium POMeCy,PhMe,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
82874,82874,100,MorDalphos,PhMe,[Ni(COD)(DQ)],DIPEA,MeOH
71150,71150,85,P(2-OMe-C6H4)3,PhMe,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
75578,75578,85,DavePhos,PhMe,[Ni(COD)(DQ)],DIPEA,MeOH
77882,77882,85,PCy2Ph,PhMe,[Ni(COD)(DQ)],DIPEA,MeOH
82670,82670,100,XPhos,PhMe,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
78458,78458,85,PtBuPh2,PhMe,[Ni(COD)(DQ)],DIPEA,MeOH
83834,83834,100,PhDavePhos,PhMe,[Ni(COD)(DQ)],DIPEA,MeOH
81146,81146,100,cataCXium A,PhMe,[Ni(COD)(DQ)],DIPEA,MeOH
75962,75962,85,PhenCar-Phos,PhMe,[Ni(COD)(DQ)],DIPEA,MeOH
83054,83054,100,Me4tBuXPhos,PhMe,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
77486,77486,85,Tyrannophos,PhMe,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
87098,87098,100,Tyrannophos,PhMe,[Ni(COD)(DQ)],DIPEA,MeOH
86894,86894,100,GPhos,PhMe,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
87278,87278,100,CM-Phos,PhMe,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
71738,71738,85,cataCXium POMetB,PhMe,[Ni(COD)(DQ)],DIPEA,MeOH
77582,77582,85,Tyrannophos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
79214,79214,100,P(2-Fur)3,PhMe,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
84926,84926,100,RuPhos,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
75950,75950,85,PhenCar-Phos,PhMe,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
84780,84780,100,RuPhos,PhMe,[Ni(oTol)(Cl)(PPh3)2],DIPEA,none
85934,85934,100,PhCPhos,PhMe,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
80558,80558,100,P(4-CF3-C6H4)3,PhMe,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
82106,82106,100,tBuDavePhos,PhMe,[Ni(COD)(DQ)],DIPEA,MeOH
82478,82478,100,cataCXium PICy,PhMe,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
81530,81530,100,cataCXium POMeCy,PhMe,[Ni(COD)(DQ)],DIPEA,MeOH
