,rxn_id,temperature,ligand,solvent,precursor,base,cosolvent
10910,10910,40,BrettPhos,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
9278,9278,40,MorDalphos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
22238,22238,40,PtBuPh2,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
14222,14222,40,RuPhos,MEK,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
9470,9470,40,MorDalphos,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
3518,3518,40,P(4-CF3-C6H4)3,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
8510,8510,40,cataCXium PICy,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
39758,39758,55,EPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
37454,37454,55,CyBippyPhos,MeTHF,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
8078,8078,40,CyJohnPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
15710,15710,40,EPhos,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
4190,4190,40,P(2-OMe-C6H4)3,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
29198,29198,55,cataCXium A,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
4958,4958,40,cataCXium A,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
18110,18110,40,PAd3,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
46262,46262,55,PtBuPh2,iPrOH,NiCl2.6H2O,DIPEA,MeOH
39710,39710,55,EPhos,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
20030,20030,40,Tyrannophos,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
31550,31550,55,tBuDavePhos,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
18638,18638,40,cataCXium PiPr,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
32510,32510,55,cataCXium PICy,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
38174,38174,55,RuPhos,EtOAc,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
15518,15518,40,EPhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
3710,3710,40,P(4-CF3-C6H4)3,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
22430,22430,40,PtBuPh2,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
42110,42110,55,PAd3,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
41918,41918,55,PAd3,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
13502,13502,40,CyBippyPhos,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
15278,15278,40,DavePhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
37742,37742,55,CyBippyPhos,MEK,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
46478,46478,55,PtBuPh2,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
13454,13454,40,CyBippyPhos,MeTHF,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
13982,13982,40,RuPhos,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
21950,21950,40,Amidolephos,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
8990,8990,40,XPhos,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
14174,14174,40,RuPhos,EtOAc,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
22094,22094,40,PtBuPh2,MeTHF,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
44030,44030,55,Tyrannophos,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
32078,32078,55,CyJohnPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
28958,28958,55,cataCXium A,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
14366,14366,40,RuPhos,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
38102,38102,55,RuPhos,iPrOH,NiCl2.6H2O,DIPEA,MeOH
29678,29678,55,cataCXium POMetB,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
27758,27758,55,P(4-CF3-C6H4)3,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
7838,7838,40,CyJohnPhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
33278,33278,55,MorDalphos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
13742,13742,40,CyBippyPhos,MEK,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
16670,16670,40,CPhos,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
8030,8030,40,CyJohnPhos,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
41774,41774,55,PAd3,MeTHF,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
830,830,40,PPh3,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
46094,46094,55,PtBuPh2,MeTHF,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
29150,29150,55,cataCXium A,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
14894,14894,40,DavePhos,MeTHF,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
14798,14798,40,CyPPh2,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
37694,37694,55,CyBippyPhos,EtOAc,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
38030,38030,55,RuPhos,PhMe,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
9038,9038,40,XPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
