,rxn_id,temperature,ligand,solvent,precursor,base,cosolvent
42590,42590,55,cataCXium PiPr,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
34910,34910,55,BrettPhos,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
34958,34958,55,BrettPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
32990,32990,55,XPhos,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
14318,14318,40,RuPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
37790,37790,55,CyBippyPhos,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
33470,33470,55,MorDalphos,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
42158,42158,55,PAd3,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
18590,18590,40,cataCXium PiPr,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
34718,34718,55,BrettPhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
18158,18158,40,PAd3,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
22478,22478,40,PtBuPh2,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
28190,28190,55,P(2-OMe-C6H4)3,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
10958,10958,40,BrettPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
14078,14078,40,RuPhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
14270,14270,40,RuPhos,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
37838,37838,55,CyBippyPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
38318,38318,55,RuPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
10718,10718,40,BrettPhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
37934,37934,55,RuPhos,MeTHF,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
17918,17918,40,PAd3,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
13934,13934,40,RuPhos,MeTHF,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
38270,38270,55,RuPhos,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
15758,15758,40,EPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
13838,13838,40,CyBippyPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
3758,3758,40,P(4-CF3-C6H4)3,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
38222,38222,55,RuPhos,MEK,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
13598,13598,40,CyBippyPhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
7550,7550,40,tBuDavePhos,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
33950,33950,55,Me4tBuXPhos,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
9518,9518,40,MorDalphos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
18398,18398,40,cataCXium PiPr,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
37598,37598,55,CyBippyPhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
13790,13790,40,CyBippyPhos,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
33518,33518,55,MorDalphos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
5198,5198,40,cataCXium A,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
38078,38078,55,RuPhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
5150,5150,40,cataCXium A,MeOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
