,rxn_id,ligand_PC1,ligand_PC2,ligand_PC3,ligand_PC4,ligand_PC5,ligand_PC6,ligand_PC7,ligand_PC8,ligand_PC9,ligand_PC10,ligand_PC11,ligand_PC12,ligand_PC13,ligand_PC14,ligand_PC15,ligand_PC16,ligand_PC17,ligand_PC18,ligand_PC19,ligand_PC20,ligand_PC21,ligand_PC22,ligand_PC23,ligand_PC24,ligand_PC25,ligand_PC26,ligand_PC27,ligand_PC28,ligand_PC29,ligand_PC30,ligand_PC31,ligand_PC32,ligand_PC33,ligand_PC34,ligand_PC35,ligand_PC36,ligand_PC37,Solvent_F1,Solvent_F2,Solvent_F3,Solvent_F4,Precatalyst - NiCl2.6H2O,Precatalyst_[Ni(COD)(DQ)],Precatalyst_[Ni(oTol)(Cl)(PPh3)2],Precatalyst_[Ni(oTol)(Cl)(TMEDA)],Base_Cs2CO3,Base_DBU,Base_DIPEA,Base_K3PO4,Cosolvent_MeOH,Cosolvent_none,Cosolvent_water,Temperature,P_A%,Selectivity_A%
103,51458,0.3180976648521888,0.2460896926412683,0.586816892004302,0.4251692969087262,0.6048716453931005,0.4011555322708487,0.3617781213875471,0.2331867903029426,0.5787069189045676,0.5417949969558439,0.5748176684759484,0.0171369085744002,0.5293407111690096,0.1465842663135029,1.0,0.1530251954512153,0.1111086624001076,0.4303326745868213,0.4730800754330799,0.6047009381305403,0.0493891215074965,0.7885438244190583,0.7021459851142529,0.3593412189021416,0.6623537210386921,0.6563647084046189,0.1805235751976468,0.5851905658576879,0.1681265196558692,0.6439268046791574,0.2204113903435819,0.4437156303513616,0.2065945354056531,0.0405282381235106,0.4588375384943262,0.48965432160208,0.1777425034839784,0.5158730158730158,0.0,0.8656716417910446,0.4666666666666667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5000000000000001,0.1798,0.5086
104,51470,0.3180976648521888,0.2460896926412683,0.586816892004302,0.4251692969087262,0.6048716453931005,0.4011555322708487,0.3617781213875471,0.2331867903029426,0.5787069189045676,0.5417949969558439,0.5748176684759484,0.0171369085744002,0.5293407111690096,0.1465842663135029,1.0,0.1530251954512153,0.1111086624001076,0.4303326745868213,0.4730800754330799,0.6047009381305403,0.0493891215074965,0.7885438244190583,0.7021459851142529,0.3593412189021416,0.6623537210386921,0.6563647084046189,0.1805235751976468,0.5851905658576879,0.1681265196558692,0.6439268046791574,0.2204113903435819,0.4437156303513616,0.2065945354056531,0.0405282381235106,0.4588375384943262,0.48965432160208,0.1777425034839784,0.5158730158730158,0.0,0.8656716417910446,0.4666666666666667,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5000000000000001,0.5302,0.9
105,51494,0.3180976648521888,0.2460896926412683,0.586816892004302,0.4251692969087262,0.6048716453931005,0.4011555322708487,0.3617781213875471,0.2331867903029426,0.5787069189045676,0.5417949969558439,0.5748176684759484,0.0171369085744002,0.5293407111690096,0.1465842663135029,1.0,0.1530251954512153,0.1111086624001076,0.4303326745868213,0.4730800754330799,0.6047009381305403,0.0493891215074965,0.7885438244190583,0.7021459851142529,0.3593412189021416,0.6623537210386921,0.6563647084046189,0.1805235751976468,0.5851905658576879,0.1681265196558692,0.6439268046791574,0.2204113903435819,0.4437156303513616,0.2065945354056531,0.0405282381235106,0.4588375384943262,0.48965432160208,0.1777425034839784,0.5158730158730158,0.0,0.8656716417910446,0.4666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5000000000000001,0.0411,0.1817
106,51506,0.3180976648521888,0.2460896926412683,0.586816892004302,0.4251692969087262,0.6048716453931005,0.4011555322708487,0.3617781213875471,0.2331867903029426,0.5787069189045676,0.5417949969558439,0.5748176684759484,0.0171369085744002,0.5293407111690096,0.1465842663135029,1.0,0.1530251954512153,0.1111086624001076,0.4303326745868213,0.4730800754330799,0.6047009381305403,0.0493891215074965,0.7885438244190583,0.7021459851142529,0.3593412189021416,0.6623537210386921,0.6563647084046189,0.1805235751976468,0.5851905658576879,0.1681265196558692,0.6439268046791574,0.2204113903435819,0.4437156303513616,0.2065945354056531,0.0405282381235106,0.4588375384943262,0.48965432160208,0.1777425034839784,0.1111111111111111,0.8478260869565218,0.0,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5000000000000001,0.3216,0.5971
107,51518,0.3180976648521888,0.2460896926412683,0.586816892004302,0.4251692969087262,0.6048716453931005,0.4011555322708487,0.3617781213875471,0.2331867903029426,0.5787069189045676,0.5417949969558439,0.5748176684759484,0.0171369085744002,0.5293407111690096,0.1465842663135029,1.0,0.1530251954512153,0.1111086624001076,0.4303326745868213,0.4730800754330799,0.6047009381305403,0.0493891215074965,0.7885438244190583,0.7021459851142529,0.3593412189021416,0.6623537210386921,0.6563647084046189,0.1805235751976468,0.5851905658576879,0.1681265196558692,0.6439268046791574,0.2204113903435819,0.4437156303513616,0.2065945354056531,0.0405282381235106,0.4588375384943262,0.48965432160208,0.1777425034839784,0.1111111111111111,0.8478260869565218,0.0,0.2222222222222222,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5000000000000001,0.6103,0.8668
108,51542,0.3180976648521888,0.2460896926412683,0.586816892004302,0.4251692969087262,0.6048716453931005,0.4011555322708487,0.3617781213875471,0.2331867903029426,0.5787069189045676,0.5417949969558439,0.5748176684759484,0.0171369085744002,0.5293407111690096,0.1465842663135029,1.0,0.1530251954512153,0.1111086624001076,0.4303326745868213,0.4730800754330799,0.6047009381305403,0.0493891215074965,0.7885438244190583,0.7021459851142529,0.3593412189021416,0.6623537210386921,0.6563647084046189,0.1805235751976468,0.5851905658576879,0.1681265196558692,0.6439268046791574,0.2204113903435819,0.4437156303513616,0.2065945354056531,0.0405282381235106,0.4588375384943262,0.48965432160208,0.1777425034839784,0.1111111111111111,0.8478260869565218,0.0,0.2222222222222222,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5000000000000001,0.2602,0.5292
109,51602,0.3180976648521888,0.2460896926412683,0.586816892004302,0.4251692969087262,0.6048716453931005,0.4011555322708487,0.3617781213875471,0.2331867903029426,0.5787069189045676,0.5417949969558439,0.5748176684759484,0.0171369085744002,0.5293407111690096,0.1465842663135029,1.0,0.1530251954512153,0.1111086624001076,0.4303326745868213,0.4730800754330799,0.6047009381305403,0.0493891215074965,0.7885438244190583,0.7021459851142529,0.3593412189021416,0.6623537210386921,0.6563647084046189,0.1805235751976468,0.5851905658576879,0.1681265196558692,0.6439268046791574,0.2204113903435819,0.4437156303513616,0.2065945354056531,0.0405282381235106,0.4588375384943262,0.48965432160208,0.1777425034839784,0.238095238095238,0.7717391304347827,0.9552238805970148,0.7555555555555555,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5000000000000001,0.284,0.678
110,51614,0.3180976648521888,0.2460896926412683,0.586816892004302,0.4251692969087262,0.6048716453931005,0.4011555322708487,0.3617781213875471,0.2331867903029426,0.5787069189045676,0.5417949969558439,0.5748176684759484,0.0171369085744002,0.5293407111690096,0.1465842663135029,1.0,0.1530251954512153,0.1111086624001076,0.4303326745868213,0.4730800754330799,0.6047009381305403,0.0493891215074965,0.7885438244190583,0.7021459851142529,0.3593412189021416,0.6623537210386921,0.6563647084046189,0.1805235751976468,0.5851905658576879,0.1681265196558692,0.6439268046791574,0.2204113903435819,0.4437156303513616,0.2065945354056531,0.0405282381235106,0.4588375384943262,0.48965432160208,0.1777425034839784,0.238095238095238,0.7717391304347827,0.9552238805970148,0.7555555555555555,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5000000000000001,0.6524,0.8556
111,51638,0.3180976648521888,0.2460896926412683,0.586816892004302,0.4251692969087262,0.6048716453931005,0.4011555322708487,0.3617781213875471,0.2331867903029426,0.5787069189045676,0.5417949969558439,0.5748176684759484,0.0171369085744002,0.5293407111690096,0.1465842663135029,1.0,0.1530251954512153,0.1111086624001076,0.4303326745868213,0.4730800754330799,0.6047009381305403,0.0493891215074965,0.7885438244190583,0.7021459851142529,0.3593412189021416,0.6623537210386921,0.6563647084046189,0.1805235751976468,0.5851905658576879,0.1681265196558692,0.6439268046791574,0.2204113903435819,0.4437156303513616,0.2065945354056531,0.0405282381235106,0.4588375384943262,0.48965432160208,0.1777425034839784,0.238095238095238,0.7717391304347827,0.9552238805970148,0.7555555555555555,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5000000000000001,0.264,0.607
112,51686,0.3180976648521888,0.2460896926412683,0.586816892004302,0.4251692969087262,0.6048716453931005,0.4011555322708487,0.3617781213875471,0.2331867903029426,0.5787069189045676,0.5417949969558439,0.5748176684759484,0.0171369085744002,0.5293407111690096,0.1465842663135029,1.0,0.1530251954512153,0.1111086624001076,0.4303326745868213,0.4730800754330799,0.6047009381305403,0.0493891215074965,0.7885438244190583,0.7021459851142529,0.3593412189021416,0.6623537210386921,0.6563647084046189,0.1805235751976468,0.5851905658576879,0.1681265196558692,0.6439268046791574,0.2204113903435819,0.4437156303513616,0.2065945354056531,0.0405282381235106,0.4588375384943262,0.48965432160208,0.1777425034839784,0.6428571428571428,0.4347826086956523,0.6417910447761194,0.2666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5000000000000001,0.0329,0.1961
